index,output
1,1.0314794028363914
2,2.0314163509058827
3,3.0313532989753744
4,4.031290247044866
5,5.031227195114357
6,6.031164143183848
7,7.03110109125334
8,8.031038039322832
9,9.030974987392323
10,10.030911935461814
11,11.030848883531306
12,12.030785831600797
13,13.030722779670288
14,14.03065972773978
15,15.03059667580927
16,16.030533623878764
17,17.030470571948253
18,18.030407520017746
19,19.030344468087236
20,20.03028141615673
21,21.03021836422622
22,22.03015531229571
23,23.0300922603652
24,24.030029208434694
25,25.029966156504184
26,26.029903104573677
27,27.029840052643166
28,28.02977700071266
29,29.02971394878215
30,30.029650896851642
31,31.02958784492113
32,32.02952479299063
33,33.02946174106012
34,34.02939868912961
35,35.0293356371991
36,36.02927258526859
37,37.02920953333808
38,38.02914648140757
39,39.02908342947706
40,40.02902037754656
41,41.02895732561605
42,42.02889427368554
43,43.02883122175503
44,44.028768169824524
45,45.02870511789401
46,46.0286420659635
47,47.02857901403299
48,48.02851596210249
49,49.02845291017198
50,50.02838985824147
51,51.028326806310965
52,52.028263754380454
53,53.02820070244994
54,54.02813765051943
55,55.02807459858893
56,56.02801154665842
57,57.02794849472791
58,58.0278854427974
59,59.027822390866895
60,60.027759338936384
61,61.027696287005874
62,62.02763323507536
63,63.02757018314486
64,64.02750713121435
65,65.02744407928385
66,66.02738102735334
67,67.02731797542283
68,68.02725492349232
69,69.02719187156181
70,70.0271288196313
71,71.02706576770079
72,72.0270027157703
73,73.02693966383978
74,74.02687661190927
75,75.02681355997876
76,76.02675050804825
77,77.02668745611774
78,78.02662440418723
79,79.02656135225672
80,80.02649830032622
81,81.02643524839571
82,82.0263721964652
83,83.0263091445347
84,84.02624609260418
85,85.02618304067367
86,86.02611998874316
87,87.02605693681267
88,88.02599388488215
89,89.02593083295164
90,90.02586778102113
91,91.02580472909062
92,92.02574167716011
93,93.0256786252296
94,94.02561557329909
95,95.0255525213686
96,96.02548946943809
97,97.02542641750757
98,98.02536336557706
99,99.02530031364655
100,100.02523726171604
101,101.02517420978553
102,102.02511115785504
103,103.02504810592453
104,104.02498505399402
105,105.0249220020635
106,106.024858950133
107,107.02479589820248
108,108.02473284627197
109,109.02466979434146
110,110.02460674241097
111,111.02454369048046
112,112.02448063854995
113,113.02441758661944
114,114.02435453468892
115,115.02429148275841
116,116.0242284308279
117,117.02416537889741
118,118.0241023269669
119,119.02403927503639
120,120.02397622310588
121,121.02391317117537
122,122.02385011924486
123,123.02378706731434
124,124.02372401538383
125,125.02366096345334
126,126.02359791152283
127,127.02353485959232
128,128.0234718076618
129,129.0234087557313
130,130.0233457038008
131,131.0232826518703
132,132.02321959993978
133,133.02315654800927
134,134.02309349607876
135,135.02303044414825
136,136.02296739221774
137,137.02290434028723
138,138.02284128835672
139,139.0227782364262
140,140.0227151844957
141,141.02265213256518
142,142.02258908063467
143,143.02252602870416
144,144.02246297677368
145,145.02239992484317
146,146.02233687291266
147,147.02227382098215
148,148.02221076905164
149,149.02214771712113
150,150.02208466519062
151,151.0220216132601
152,152.0219585613296
153,153.0218955093991
154,154.02183245746858
155,155.02176940553807
156,156.02170635360756
157,157.02164330167705
158,158.02158024974653
159,159.02151719781605
160,160.02145414588554
161,161.02139109395503
162,162.02132804202452
163,163.021264990094
164,164.0212019381635
165,165.021138886233
166,166.02107583430248
167,167.02101278237197
168,168.02094973044146
169,169.02088667851095
170,170.02082362658044
171,171.02076057464993
172,172.02069752271942
173,173.0206344707889
174,174.02057141885842
175,175.0205083669279
176,176.0204453149974
177,177.0203822630669
178,178.02031921113638
179,179.02025615920587
180,180.02019310727536
181,181.02013005534485
182,182.02006700341434
183,183.02000395148383
184,184.01994089955332
185,185.0198778476228
186,186.0198147956923
187,187.0197517437618
188,188.01968869183128
189,189.0196256399008
190,190.01956258797028
191,191.01949953603977
192,192.01943648410926
193,193.01937343217875
194,194.01931038024824
195,195.01924732831773
196,196.01918427638722
197,197.0191212244567
198,198.0190581725262
199,199.0189951205957
200,200.01893206866518
201,201.01886901673467
202,202.01880596480416
203,203.01874291287365
204,204.01867986094317
205,205.01861680901266
206,206.01855375708215
207,207.01849070515163
208,208.01842765322112
209,209.0183646012906
210,210.0183015493601
211,211.0182384974296
212,212.01817544549908
213,213.01811239356857
214,214.01804934163806
215,215.01798628970755
216,216.01792323777704
217,217.01786018584653
218,218.01779713391602
219,219.01773408198554
220,220.01767103005503
221,221.01760797812452
222,222.017544926194
223,223.0174818742635
224,224.01741882233298
225,225.01735577040247
226,226.01729271847196
227,227.01722966654145
228,228.01716661461094
229,229.01710356268043
230,230.01704051074992
231,231.0169774588194
232,232.0169144068889
233,233.0168513549584
234,234.0167883030279
235,235.0167252510974
236,236.0166621991669
237,237.01659914723638
238,238.01653609530587
239,239.01647304337536
240,240.01640999144485
241,241.01634693951434
242,242.01628388758382
243,243.01622083565331
244,244.0161577837228
245,245.0160947317923
246,246.01603167986178
247,247.01596862793127
248,248.01590557600076
249,249.01584252407028
250,250.01577947213977
251,251.01571642020926
252,252.01565336827875
253,253.01559031634824
254,254.01552726441773
255,255.01546421248722
256,256.0154011605567
257,257.0153381086262
258,258.0152750566957
259,259.0152120047652
260,260.0151489528347
261,261.0150859009042
262,262.0150228489737
263,263.01495979704316
264,264.01489674511265
265,265.01483369318214
266,266.01477064125163
267,267.0147075893211
268,268.0146445373906
269,269.0145814854601
270,270.0145184335296
271,271.0144553815991
272,272.01439232966857
273,273.01432927773806
274,274.01426622580755
275,275.01420317387704
276,276.0141401219465
277,277.014077070016
278,278.0140140180855
279,279.013950966155
280,280.0138879142245
281,281.013824862294
282,282.01376181036346
283,283.01369875843295
284,284.01363570650244
285,285.01357265457193
286,286.0135096026414
287,287.01344655071097
288,288.01338349878046
289,289.01332044684995
290,290.01325739491944
291,291.0131943429889
292,292.0131312910584
293,293.0130682391279
294,294.0130051871974
295,295.0129421352669
296,296.0128790833364
297,297.01281603140586
298,298.01275297947535
299,299.01268992754484
300,300.01262687561433
301,301.0125638236838
302,302.0125007717533
303,303.0124377198228
304,304.0123746678923
305,305.0123116159618
306,306.01224856403127
307,307.01218551210076
308,308.01212246017025
309,309.01205940823974
310,310.0119963563092
311,311.0119333043787
312,312.0118702524482
313,313.0118072005177
314,314.0117441485872
315,315.0116810966567
316,316.01161804472616
317,317.0115549927957
318,318.0114919408652
319,319.0114288889347
320,320.0113658370042
321,321.01130278507367
322,322.01123973314316
323,323.01117668121265
324,324.01111362928214
325,325.0110505773516
326,326.0109875254211
327,327.0109244734906
328,328.0108614215601
329,329.0107983696296
330,330.0107353176991
331,331.01067226576856
332,332.01060921383805
333,333.01054616190754
334,334.01048310997703
335,335.0104200580465
336,336.010357006116
337,337.0102939541855
338,338.010230902255
339,339.0101678503245
340,340.01010479839397
341,341.01004174646346
342,342.00997869453295
343,343.00991564260244
344,344.0098525906719
345,345.0097895387414
346,346.0097264868109
347,347.00966343488045
348,348.00960038294994
349,349.00953733101943
350,350.0094742790889
351,351.0094112271584
352,352.0093481752279
353,353.0092851232974
354,354.0092220713669
355,355.00915901943637
356,356.00909596750586
357,357.00903291557535
358,358.00896986364484
359,359.0089068117143
360,360.0088437597838
361,361.0087807078533
362,362.0087176559228
363,363.0086546039923
364,364.0085915520618
365,365.00852850013126
366,366.00846544820075
367,367.00840239627024
368,368.00833934433973
369,369.0082762924092
370,370.0082132404787
371,371.0081501885482
372,372.0080871366177
373,373.0080240846872
374,374.00796103275667
375,375.00789798082616
376,376.00783492889565
377,377.0077718769652
378,378.0077088250347
379,379.0076457731042
380,380.00758272117366
381,381.00751966924315
382,382.00745661731264
383,383.00739356538213
384,384.0073305134516
385,385.0072674615211
386,386.0072044095906
387,387.0071413576601
388,388.0070783057296
389,389.00701525379907
390,390.00695220186856
391,391.00688914993805
392,392.00682609800754
393,393.006763046077
394,394.0066999941465
395,395.006636942216
396,396.0065738902855
397,397.006510838355
398,398.0064477864245
399,399.00638473449396
400,400.00632168256345
